ID,xicStart,xicEnd,feature,corrMax,ionCount,chargeOrder,maxIsotopeCount,rt,mwMonoisotopic,theo_mwMonoisotopic,inferredStructure,maxIntensity
834,11.562385,12.1575166666667,834,0.961899550614224,3,3,5,11.9923393587116,2839.21245321688,,,78478
835,11.900695,12.26135,835,0.986277995303814,4,3,5,12.1519377045546,3175.31902059969,,,493547
836,12.0638483333333,12.26135,836,0.993533507535174,4,2;3,5,12.143125991318,2695.12987265047,,,275901
838,12.1575166666667,12.6506833333333,838,0.967662490807611,6,2;3,5,12.4468566834816,2288.9689839786,,,48924
839,12.0638483333333,12.99185,839,0.999866109559642,4,1,2,12.4722771373669,430.077776023464,,,11224
840,12.1575166666667,12.26135,840,0.995051678400516,4,2;3,5,12.1986717045314,2766.16325888094,,,876757
841,12.0638483333333,12.1575166666667,841,0.993683483274093,3,3;2,5,12.0723716443891,2313.96288046297,,,185885
842,12.0638483333333,12.6506833333333,842,0.970233876714853,5,4;3,5,12.4854200739605,3691.575002045,,,746621
843,12.0638483333333,12.4420383333333,843,0.973643349855215,6,3;4,5,12.2580626660498,3620.53813681063,,,229723
844,12.0638483333333,21.5192083333333,844,0.994646471918206,449,1,2,18.3699373195574,429.880968162136,,,60819
845,12.1575166666667,12.26135,845,0.931878237043561,4,3;4,5,12.2286768712832,3549.50273642,,,147873
848,11.562385,16.1579966666667,848,0.95039242807822,33,4,5,13.3908267114458,3173.31299452354,,,23192
849,12.0638483333333,12.26135,849,0.990061154554281,3,3,5,12.1371297732583,2801.13823446688,,,201256
850,12.1575166666667,29.6053283333333,850,0.97236550806092,1259,1,2,23.241328356716,535.158128806668,,,61660
851,12.26135,30.050995,851,0.982887273455655,1305,1,2,23.11712131568,502.100389548855,,,38076
852,12.4420383333333,12.6506833333333,852,0.970503792403847,5,3;2,5,12.6015855163275,2360.00529989656,,,118811
853,12.1575166666667,12.4420383333333,853,0.999570362554762,3,2;3,3,12.4080443418041,1791.66562284771,,,34571
854,12.1575166666667,12.4420383333333,854,0.947792869605578,6,3;4,5,12.3410851326951,3246.35735067781,,,937118
855,12.1575166666667,24.1608283333333,855,0.993250670010898,694,1,2,20.0582681747723,427.884050437527,,,33018
856,12.26135,29.552875,856,0.976420741561002,1250,1,2,23.2602940916102,609.17729384573,,,33529
860,12.0638483333333,39.995495,860,0.997055366728322,4981,1,2,27.7575044787188,390.277147361355,,,85923
861,12.6506833333333,13.57885,861,0.986556262522374,3,3;2,3,12.8022796664233,1944.83273710552,,,33312
862,12.6506833333333,12.8116833333333,862,0.984257951120687,3,3;4,6,12.7518682614169,3724.54146239656,,,13380
863,12.26135,15.792335,863,0.958412048697805,31,3;4,5,14.1423290817077,2249.91936239656,,,8066
865,12.26135,14.6564383333333,865,0.916220968222612,11,1,2,13.6191965839539,445.113267966824,,,40012
868,12.8116833333333,12.99185,868,0.954084436343003,3,4;3,7,12.9187178315412,4169.75855116417,,,41267
869,12.8116833333333,39.995495,869,0.998272944941779,2906,1,2,28.3362900128477,454.326860496121,,,127387
